Hotel ID	Hotel Name	Price start from (in SGD)	Web site	Location	star
64	Hotel Royal	139	http://www.hotelroyal.com.sg/	1.317028, 103.841965	4
65	Hotel Royal @ Queens	172	https://www.royalqueens.com.sg/	1.297621, 103.852249	4
66	Hotel Supreme Singapore	80	http://www.supremeh.com.sg/	1.301339, 103.842459	3
67	ibis Singapore Novena	105	https://www.accorhotels.com/gb/hotel-7451-ibis-singapore-novena/index.shtml	1.326225, 103.845632	3
68	ibis Singapore on Bencoolen	128	https://www.accorhotels.com/gb/hotel-6657-ibis-singapore-on-bencoolen/index.shtml	1.301165, 103.852533	3
69	InterContinental Singapore	241	https://www.ihg.com/intercontinental/hotels/us/en/singapore/sinhb/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-SG-_-SINHB	1.290457, 103.838598	5
70	InterContinental Singapore Robertson Quay	241	https://www.ihg.com/intercontinental/hotels/us/en/singapore/sinic/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-SG-_-SINIC	1.290331, 103.838692	5
71	Jayleen 1918 Hotel	110	https://www.jayleen1918.com.sg/	1.287893, 103.847959	3
72	JW Marriott Singapore South Beach	334	https://www.marriott.com/hotels/travel/sinjw-jw-marriott-hotel-singapore-south-beach/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2	1.294489, 103.856052	5
73	Klapstar Boutique Hotel	250	https://www.klapstar.com/	1.273960, 103.842312	3
74	Le Méridien Singapore, Sentosa	311	https://www.marriott.com/hotels/travel/sinmd-le-meridien-singapore-sentosa/	1.253181, 103.819538	5
75	Link Hotel Singapore	141	http://linkhotel.com.sg/	1.284937, 103.834283	4
76	Lloyd's Inn	177	http://www.lloydsinn.com/	1.297314, 103.840249	3
77	M Hotel Singapore	202	https://www.millenniumhotels.com/en/singapore/m-hotel-singapore/?cid=gplaces-m-hotel-singapore	1.273708, 103.845043	4
78	M Social Singapore	188	https://www.millenniumhotels.com/en/singapore/m-social-singapore/?cid=gplaces-m-social-singapore	1.290786, 103.837333	4
79	Mandarin Orchard Singapore	315	https://www.meritushotels.com/mandarin-orchard-singapore/index.html	1.302024, 103.835936	5
