Tourism ID	Tourism Name	Web site	Location
60	Hong San See	https://the-intan.com/	103.840856543407, 1.29330349711007
61	Former Tao Nan School (now The Peranakan Museum)	http://theprivatemuseum.org/	103.849163935246, 1.29423631095386
62	Former Nagore Dargah	https://www.sgh.com.sg/about-us/corporate-profile/sgh-museum	103.847801312659, 1.28145710104323
63	Prinsep Street Presbyterian Church	https://woodbridgemuseum.com/	103.851109692348, 1.3017142189844
64	Telok Ayer Chinese Methodist Church	https://www.mindef.gov.sg/web/portal/army/about-the-army/army-museum	103.846991354291, 1.2784736056473
65	Former Keng Teck Whay Building	https://www.marinabaysands.com/museum.html	103.847697333262, 1.28120166647708
66	Former Singapore Conference Hall and Trade Union House (now Singapore Conference Hall)	https://www.acm.org.sg/	103.848969999961, 1.27620100028027
67	Changi Prison Gate Wall and Turrets	https://www.bca.gov.sg/bcagallery/	103.969628333067, 1.35641766592514
68	Former Command House	https://www.chinatownheritagecentre.com.sg/	103.819148000164, 1.32559699997874
69	Esplanade Park Memorials	https://chc.ntu.edu.sg/	103.853389000288, 1.2896839996532
70	Former Tanjong Pagar Railway Station	https://roots.sg/Content/Places/museums/civil-defence-heritage-gallery	103.836899999904, 1.27279699954917
71	Civilian War Memorial	https://roots.sg/Content/Places/landmarks/museum.../eurasian-heritage-centre	103.85471700011, 1.29288300019674
72	Chung Cheng High School (Main) Administration Building and Entrance Arch	https://www.nas.gov.sg/formerfordfactory/visit-opening	103.89071500041, 1.3053630000691
73	Former Hill Street Police Station	https://www.sentosa.com.sg/explore/attractions/fort-siloso	103.848272650909, 1.29088455947931
74	Former Parliament House and Annex Building (now The Arts House)	https://roots.sg/Content/Places/museums/fuk-tak-chi-museum	103.850803648798, 1.28874960918596
75	Raffles Hotel	https://roots.sg/Content/Places/museums/national-healthcare-group-polyclinics	103.854274403914, 1.29493498590319
76	National Museum of Singapore	https://en.wikipedia.org/wiki/National_Library,_Singapore	103.848485999001, 1.29666182152424
77	Former Sun Yat Sen Villa (now Sun Yat Sen Nanyang Memorial Hall)	https://www.nationalmuseum.sg/	103.847253281045, 1.32813453365366
78	Sultan Mosque	https://thengeeannkongsi.com.sg/en/culture-and-heritage/ngee-ann-cultural-centre/	103.859364099689, 1.30254010310894
79	St. Andrew's Cathedral	https://www.peranakanmuseum.org.sg/	103.852192728669, 1.29218835601534
80	Tan Si Chong Su	https://www.police.gov.sg/about-us/our-heritage/police-heritage-centre/about-police-heritage-centre#content	103.842920030821, 1.2890955708859
81	Former Fullerton Building	https://www.museum.red-dot.sg/	103.853063332448, 1.2863446658111
82	Former Empress Place Building (now Asian Civilisations Museum)	https://www.nhb.gov.sg/what-we-do/our-work/.../reflections-at-bukit-chandu	103.851422375818, 1.28756986090305
83	Goodwood Park Hotel (Tower Block)	https://www.mindef.gov.sg/web/portal/rsaf/about-the-rsaf/air-force-museum	103.834126823007, 1.30812215846825
84	Victoria Theatre and Concert Hall	https://www.mindef.gov.sg/oms/imindef/mindef_websites/.../navymuseum/home.html	103.851520859981, 1.28815028155472
85	Ying Fo Fui Kun	https://www.sdc.com.sg/	103.848464260479, 1.28250190995753
86	Armenian Apostolic Church of Saint Gregory the Illuminator	https://www.science.edu.sg/	103.849074253057, 1.29300248659951
87	Tan Teck Guan Building	https://www.singaporeartmuseum.sg/	103.833330080625, 1.28055006412647
88	Former Cathay Building (now The Cathay)	https://www.ura.gov.sg/Corporate/Singapore-City-Gallery	103.847853439392, 1.29933187185483
89	Former Thong Chai Medical Institution	https://www.maritimegallery.sg/web/portal/home	103.84543414106, 1.28741597368182
90	Tou Mu Kung Temple	https://www.spm.org.sg	103.878844727614, 1.35527122744357
91	Church of Saints Peter and Paul	https://www.sportshub.com.sg/museum	103.8512694267, 1.29787998257456
92	Chinese High School Clock Tower	https://www.sysnmh.org.sg/	103.801425575471, 1.32511080411058
93	Istana Kampong Gelam	https://www.ttsh.com.sg/TTSH-Heritage-Museum/	103.860106999939, 1.30242100039567
94	Former Saint Joseph's Institution (now Singapore Art Museum)	https://www.battlebox.com.sg/	103.851050999757, 1.29725900024117
95	Former Attorney-Generals Chambers (now Parliament House Block C)	https://www.changimuseum.sg/	103.85083300035, 1.28911699996436
96	Former Nanyang University Library and Administration Building, Memorial and Arch	https://roots.sg/Content/Places/museums/the-grassroots-heritage-centre	103.683124000066, 1.34831499978532
97	Church of the Nativity of the Blessed Virgin Mary	https://the-intan.com/	103.898217731825, 1.37362593060186
98	St. George's Church	http://theprivatemuseum.org/	103.815131185404, 1.30478977951338
99	St Joseph's Church	https://www.sgh.com.sg/about-us/corporate-profile/sgh-museum	103.853152060263, 1.29835819652016
100	Yueh Hai Ching Temple	https://woodbridgemuseum.com/	103.849260648314, 1.28458122083921
101	Former Convent of the Holy Infant Jesus Chapel and Caldwell House (now CHIJMES)	https://www.mindef.gov.sg/web/portal/army/about-the-army/army-museum	103.852159956988, 1.29559437496032
102	Abdul Gafoor Mosque	https://www.marinabaysands.com/museum.html	103.853690876592, 1.30448453980079
103	Al-Abrar Mosque	https://www.acm.org.sg/	103.847153371444, 1.28050164311391
104	The Istana and Sri Temasek	https://www.bca.gov.sg/bcagallery/	103.843291917711, 1.30713059321475
105	Former Telok Ayer Market (now known as Lau Pa Sat)	https://www.chinatownheritagecentre.com.sg/	103.850425218614, 1.28053825004083
106	Former Supreme Court	https://chc.ntu.edu.sg/	103.851259126215, 1.28974748216036
107	Former Ministry of Labour Building (now Family Justice Courts)	https://roots.sg/Content/Places/museums/civil-defence-heritage-gallery	103.843043840887, 1.28674232256948
108	Sri Mariamman Temple	https://roots.sg/Content/Places/landmarks/museum.../eurasian-heritage-centre	103.845305626955, 1.28251793404598
109	Sri Perumal Temple	https://www.nas.gov.sg/formerfordfactory/visit-opening	103.85590317724, 1.31332884551821
110	Thian Hock Keng	https://www.sentosa.com.sg/explore/attractions/fort-siloso	103.847489248338, 1.28110955536342
111	Cathedral of the Good Shepherd	https://roots.sg/Content/Places/museums/fuk-tak-chi-museum	103.851235898012, 1.29603164207573
112	Sri Thendayuthapani Temple	https://roots.sg/Content/Places/museums/national-healthcare-group-polyclinics	103.843194999837, 1.29426099978858
113	Alkaff Upper Serangoon Mosque	https://en.wikipedia.org/wiki/National_Library,_Singapore	103.870357999976, 1.33293800003606
114	Jurong Town Hall	https://www.nationalmuseum.sg/	103.742210999989, 1.32898399998912
115	Former Ford Factory (now Memories at Old Ford Factory)	https://thengeeannkongsi.com.sg/en/culture-and-heritage/ngee-ann-cultural-centre/	103.769161999985, 1.35294299961503
116	Former Raffles College (now NUS Campus at Bukit Timah)	https://www.peranakanmuseum.org.sg/	103.816846000114, 1.31832300023381
